run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230529-12:37:35-23235,runattr,,,configname,General,,
General-0-20230529-12:37:35-23235,runattr,,,datetime,20230529-12:37:35,,
General-0-20230529-12:37:35-23235,runattr,,,datetimef,20230529-123735,,
General-0-20230529-12:37:35-23235,runattr,,,experiment,General,,
General-0-20230529-12:37:35-23235,runattr,,,inifile,omnetpp.ini,,
General-0-20230529-12:37:35-23235,runattr,,,iterationvars,,,
General-0-20230529-12:37:35-23235,runattr,,,iterationvarsd,,,
General-0-20230529-12:37:35-23235,runattr,,,iterationvarsf,,,
General-0-20230529-12:37:35-23235,runattr,,,measurement,,,
General-0-20230529-12:37:35-23235,runattr,,,network,Network,,
General-0-20230529-12:37:35-23235,runattr,,,processid,23235,,
General-0-20230529-12:37:35-23235,runattr,,,repetition,0,,
General-0-20230529-12:37:35-23235,runattr,,,replication,#0,,
General-0-20230529-12:37:35-23235,runattr,,,resultdir,results,,
General-0-20230529-12:37:35-23235,runattr,,,runnumber,0,,
General-0-20230529-12:37:35-23235,runattr,,,seedset,0,,
General-0-20230529-12:37:35-23235,config,,,network,Network,,
General-0-20230529-12:37:35-23235,config,,,sim-time-limit,200s,,
General-0-20230529-12:37:35-23235,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20230529-12:37:35-23235,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20230529-12:37:35-23235,config,,,Network.node[0].app.destination,5,,
General-0-20230529-12:37:35-23235,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20230529-12:37:35-23235,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20230529-12:37:35-23235,config,,,Network.node[2].app.destination,5,,
