run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230606-13:57:42-6193,runattr,,,configname,General,,
General-0-20230606-13:57:42-6193,runattr,,,datetime,20230606-13:57:42,,
General-0-20230606-13:57:42-6193,runattr,,,datetimef,20230606-135742,,
General-0-20230606-13:57:42-6193,runattr,,,experiment,General,,
General-0-20230606-13:57:42-6193,runattr,,,inifile,omnetpp.ini,,
General-0-20230606-13:57:42-6193,runattr,,,iterationvars,,,
General-0-20230606-13:57:42-6193,runattr,,,iterationvarsd,,,
General-0-20230606-13:57:42-6193,runattr,,,iterationvarsf,,,
General-0-20230606-13:57:42-6193,runattr,,,measurement,,,
General-0-20230606-13:57:42-6193,runattr,,,network,Network,,
General-0-20230606-13:57:42-6193,runattr,,,processid,6193,,
General-0-20230606-13:57:42-6193,runattr,,,repetition,0,,
General-0-20230606-13:57:42-6193,runattr,,,replication,#0,,
General-0-20230606-13:57:42-6193,runattr,,,resultdir,results,,
General-0-20230606-13:57:42-6193,runattr,,,runnumber,0,,
General-0-20230606-13:57:42-6193,runattr,,,seedset,0,,
General-0-20230606-13:57:42-6193,config,,,network,Network,,
General-0-20230606-13:57:42-6193,config,,,sim-time-limit,200s,,
General-0-20230606-13:57:42-6193,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[0].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[1].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[1].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[1].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[2].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[3].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[3].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[3].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[4].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[4].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[4].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[6].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[6].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[6].app.destination,5,,
General-0-20230606-13:57:42-6193,config,,,Network.node[7].app.interArrivalTime,exponential(1),,
General-0-20230606-13:57:42-6193,config,,,Network.node[7].app.packetByteSize,125000,,
General-0-20230606-13:57:42-6193,config,,,Network.node[7].app.destination,5,,
